display arm: ATTACHED to persistent dev display :99 (devdisplay.sh), GUI_GATE=0
PASS     | test_accelerators
PASS     | test_action_log_dispatch
PASS     | test_action_log_libmgr
PASS     | test_actionlog_suppress_gate
PASS     | test_add_pin_lib_symbol_view
PASS     | test_add_wire_label
PASS     | test_alt_transform_group_0116
PASS     | test_altf5_ciw
PASS     | test_apply_hilight_log
PASS     | test_apply_properties_readonly
PASS     | test_ase_bus_bits_0159
PASS     | test_ase_core
PASS     | test_ase_cosim
PASS     | test_ase_dialogs
PASS     | test_ase_dirty
PASS     | test_ase_final
PASS     | test_ase_final_gf180
PASS     | test_ase_hier_pick_0161
PASS     | test_ase_hier_plot_0168
PASS     | test_ase_interact
PASS     | test_ase_launch
PASS     | test_ase_locked_wire_pick_0160
PASS     | test_ase_log_seam_0207
PASS     | test_ase_persist
PASS     | test_ase_plot
PASS     | test_ase_print_bracket_0167
PASS     | test_ase_savestate_adopt
PASS     | test_ase_unnamed_net
PASS     | test_ase_view
FAIL     | test_ase_window
PASS     | test_audit_classifier
PASS     | test_autosave_hook
PASS     | test_backannotate_digital
PASS     | test_backing_store_0413
PASS     | test_backup_file
PASS     | test_backup_hidden
PASS     | test_backup_recovery
PASS     | test_binding_precedence
PASS     | test_bindings_file
PASS     | test_cadence_descend_newwin_ro
FAIL     | test_cadence_drag
PASS     | test_cadence_stretch_move
PASS     | test_cadence_window_hop_log
PASS     | test_calc_skeleton
PASS     | test_calc_widgets
PASS     | test_callback_argc
PASS     | test_cellview_resolve
FAIL     | test_ciw
PASS     | test_ciw_actionlog_output
PASS     | test_ciw_autocomplete
PASS     | test_ciw_interactive_load
PASS     | test_ciw_puts_capture
PASS     | test_clone_canvas_bindings
PASS     | test_close_window_force
PASS     | test_close_window_restores_prev_tab
PASS     | test_cmdmode_0201
PASS     | test_cmdmode_descend_0201
PASS     | test_connected_drag_group_transform_0114
PASS     | test_connected_drag_keeps_selection_0113
PASS     | test_context_menu_descend_edit
PASS     | test_context_menu_descend_refusal_0249
PASS     | test_context_menu_log
PASS     | test_coordlog_precision
PASS     | test_copy_form
PASS     | test_cosim_golden_e2e
PASS     | test_create_instance
PASS     | test_crossview_paste
PASS     | test_dblclick_connected_grow
PASS     | test_del_negative_arg
PASS     | test_delete_cut_selflog
PASS     | test_descend_efficiency
PASS     | test_descend_fidelity
PASS     | test_descend_goback_selflog
PASS     | test_descend_inert_class
PASS     | test_descend_log_absorb
PASS     | test_descend_newwin_return
PASS     | test_descend_preserve
PASS     | test_descend_readonly
PASS     | test_descend_refusal_channel_0251
PASS     | test_descend_symbol
PASS     | test_descend_untitled_preserve
PASS     | test_descend_views
PASS     | test_deselect_mode
PASS     | test_drag_keeps_selection
PASS     | test_edit_vi_prop_readonly
PASS     | test_editprop_preserve
PASS     | test_empty_value_swallows_token_0183
PASS     | test_expandlabel_zero_neg_mult_0182
PASS     | test_find_helper
PASS     | test_fluid_backbone_short_vertical_0098
PASS     | test_fluid_bodyshove_guards_0132
PASS     | test_fluid_collinear_backbone_short_0105
PASS     | test_fluid_compact_escape_stub_0137
PASS     | test_fluid_compact_named_crossbar_0138
PASS     | test_fluid_diagonal_neighbor_bus_0134
PASS     | test_fluid_diagonal_ref_drop_0132
PASS     | test_fluid_diagonal_shove_throughbody_0135
PASS     | test_fluid_drag_onto_backbone_row_0106
PASS     | test_fluid_drag_through_anchor_0109
PASS     | test_fluid_editing
PASS     | test_fluid_exit_stub_staircase_0111
PASS     | test_fluid_jog_separated_trunk_0136
PASS     | test_fluid_loop_0088
PASS     | test_fluid_ortho_ctrl1_shove_0132
PASS     | test_fluid_ortho_second_drag_0132
PASS     | test_fluid_relay_manhattanize_0107
PASS     | test_fluid_relay_reanchor_0108
PASS     | test_fluid_reversal_0089
PASS     | test_fluid_reversal_0096
PASS     | test_fluid_rotate_body_route_0130
PASS     | test_fluid_rotate_second_drag_0132
PASS     | test_fluid_second_gesture_body_cross_0139
PASS     | test_fluid_sibling_pin_backbone_short_0098
PASS     | test_flylines_render
PASS     | test_geometry_sanity
PASS     | test_gesture_bindings
PASS     | test_gesture_end_log
PASS     | test_getprop_index_bounds
PASS     | test_gf180_ase_defaults
FAIL     | test_gf180mcud_libmgr
PASS     | test_graph_box_zoom_xy
PASS     | test_graph_context
PASS     | test_grid_toggle_sel_gc
PASS     | test_hash_extra_node_warn_0165
PASS     | test_hash_label_crash_0156
PASS     | test_hi_descend
PASS     | test_hier_close_prompt
PASS     | test_hier_walkup
PASS     | test_hilight_case_senders
PASS     | test_hover_highlight
PASS     | test_hover_selection_repair
FAIL     | test_ihp_sg13g2_libmgr
PASS     | test_instance_refusal
PASS     | test_instance_update
PASS     | test_isources
PASS     | test_key_graph_context
PASS     | test_key_make_sch_from_sel_log
PASS     | test_keybind_snap_grid
PASS     | test_keybindings_help
PASS     | test_label_ride
PASS     | test_label_strand_oracle
PASS     | test_launch_context
PASS     | test_lib_browse
PASS     | test_lib_manager_bold
PASS     | test_lib_manager_checkin
PASS     | test_lib_manager_ctx
FAIL     | test_lib_manager_gui
PASS     | test_lib_manager_history
PASS     | test_lib_manager_launch
FAIL     | test_lib_manager_locate
PASS     | test_lib_manager_maintain
PASS     | test_lib_new_discovered_defs
PASS     | test_lib_roundtrip
FAIL     | test_lib_sweep
PASS     | test_libmgr_mutation_log
PASS     | test_libmgr_refresh_reentrancy
PASS     | test_library_defs
PASS     | test_library_git
PASS     | test_library_git_history
PASS     | test_library_git_report
PASS     | test_library_ops
PASS     | test_list_nets_null_token_0180
PASS     | test_load_window_routing
PASS     | test_make_symbol_dialog
PASS     | test_make_symbol_view
PASS     | test_migrate_engine
PASS     | test_migrate_pin_names
PASS     | test_modify_symbol_pins
PASS     | test_mouse_bindings
PASS     | test_multi_window
PASS     | test_netlist_case_collision
PASS     | test_netlist_log
PASS     | test_ngspice_data_ctx
PASS     | test_ngspice_data_view
PASS     | test_nh_angle_clamp
PASS     | test_nh_angle_editor
PASS     | test_nh_angle_range
PASS     | test_nh_angle_render
PASS     | test_nh_anim_rearm
PASS     | test_nh_editor_align
PASS     | test_nh_editor_buttons
PASS     | test_nh_editor_cells
PASS     | test_nh_editor_discover
PASS     | test_nh_editor_flush_scroll
PASS     | test_nh_editor_free
PASS     | test_nh_editor_load
PASS     | test_nh_editor_persist
PASS     | test_nh_editor_preview
PASS     | test_nh_editor_rowops
PASS     | test_nh_editor_staged
PASS     | test_nh_editor_table
PASS     | test_nh_export_custom_color
PASS     | test_nhse_mutation_log
PASS     | test_node_token_split
PASS     | test_nogui
PASS     | test_nolog
PASS     | test_noncairo_verbs_ungated
PASS     | test_palette
PASS     | test_paste_at_log
PASS     | test_paste_modify_flag_0244
PASS     | test_pdk_launcher
PASS     | test_perform_action_add_pin_stubs
PASS     | test_perform_action_align
PASS     | test_perform_action_apply_pin_prop
PASS     | test_perform_action_attach_labels
PASS     | test_perform_action_break_wires
PASS     | test_perform_action_change_elem_order
PASS     | test_perform_action_check_unique_names
PASS     | test_perform_action_clear_drawing
PASS     | test_perform_action_delete
PASS     | test_perform_action_embed_rawfile
PASS     | test_perform_action_flip
PASS     | test_perform_action_flip_in_place
PASS     | test_perform_action_flipv
PASS     | test_perform_action_flipv_in_place
PASS     | test_perform_action_floaters_from_selected_inst
PASS     | test_perform_action_image
PASS     | test_perform_action_instance_number
PASS     | test_perform_action_move_instance
PASS     | test_perform_action_redo
PASS     | test_perform_action_replace_symbol
PASS     | test_perform_action_reset_inst_prop
PASS     | test_perform_action_reset_symbol
PASS     | test_perform_action_rotate
PASS     | test_perform_action_rotate_in_place
PASS     | test_perform_action_show_unconnected_pins
PASS     | test_perform_action_toggle_ignore
PASS     | test_perform_action_trim_wires
PASS     | test_perform_action_undo
PASS     | test_perform_action_wire_cut
PASS     | test_phase3_mints
PASS     | test_pin_name_size_win
PASS     | test_pin_rename_propagate
PASS     | test_pin_type_edit
PASS     | test_placement_preview_doors
PASS     | test_placement_wire_gate
PASS     | test_prep_result_contamination_0155
PASS     | test_pristine_untitled_basename
PASS     | test_pristine_untitled_viewer_0172
PASS     | test_prop_form_field_width_0170
PASS     | test_raw_ascii_point_bounds
PASS     | test_raw_case_mode
PASS     | test_raw_read_dispatch
PASS     | test_raw_read_failure_0306
PASS     | test_readonly
PASS     | test_readonly_action_dispatch
PASS     | test_readonly_guard
PASS     | test_remap
FAIL     | test_reopen_readonly
PASS     | test_resolved_net_attr_scope_0163
